way_id,seq,lat,lon,highway
22813563,4,41.3488932,69.2874117,primary
22813564,0,41.3621492,69.2888845,primary
22813564,1,41.3619653,69.2889751,primary
22813564,2,41.3617674,69.289056,primary
22813564,3,41.3615667,69.2891321,primary
22813564,4,41.3612909,69.2892124,primary
22813564,5,41.3610864,69.2892569,primary
22814575,0,41.1784968,69.4085829,trunk
22814575,1,41.1781533,69.4088101,trunk
22814575,2,41.1774227,69.4092959,trunk
22814589,0,41.2097284,69.3335338,trunk
22814589,1,41.2088428,69.3334083,trunk
22814589,2,41.2084199,69.3333483,trunk
22814589,3,41.2076879,69.3332327,trunk
22814589,4,41.2059689,69.332961,trunk
22814589,5,41.205318,69.3328604,trunk
22814589,6,41.2052635,69.332852,trunk
22814589,7,41.204521,69.332746,trunk
22819470,0,41.2805539,69.1954036,trunk
22819470,1,41.2807284,69.1952291,trunk
22819470,2,41.2808204,69.1951469,trunk
22819470,3,41.2808924,69.1950842,trunk
22819470,4,41.2809644,69.1950244,trunk
22819470,5,41.2810118,69.1949895,trunk
22819470,6,41.2810616,69.1949547,trunk
22819470,7,41.2811134,69.1949225,trunk
22819470,8,41.2811555,69.1948982,trunk
22819470,9,41.2811975,69.1948762,trunk
22819470,10,41.2812405,69.1948578,trunk
22819470,11,41.2812847,69.1948387,trunk
22819470,12,41.2813162,69.1948265,trunk
22819470,13,41.2813477,69.1948155,trunk
22819470,14,41.2813806,69.1948055,trunk
22819470,15,41.2814144,69.1947968,trunk
22819470,16,41.2815856,69.1947867,trunk
22819470,17,41.2818774,69.1947695,trunk
22819470,18,41.2826147,69.1947246,trunk
22819470,19,41.2835092,69.1946733,trunk
22819470,20,41.2837374,69.1946621,trunk
22819470,21,41.2839763,69.1946545,trunk
22819470,22,41.2844853,69.1946392,trunk
22819470,23,41.284879,69.1946269,trunk
22819470,24,41.2850441,69.1946197,trunk
22819470,25,41.2852983,69.1946129,trunk
22819470,26,41.2864328,69.1945702,trunk
22819470,27,41.2864702,69.1945688,trunk
22819470,28,41.2867131,69.1945596,trunk
22819600,0,41.3185108,69.3112724,trunk
22819600,1,41.3178568,69.3110577,trunk
22819600,2,41.3175651,69.3109632,trunk
22819600,3,41.3172304,69.3108242,trunk
22819602,0,41.3226827,69.3126514,trunk
22819602,1,41.3217235,69.3123334,trunk
22819603,0,41.3226898,69.3128056,trunk
22819603,1,41.3235644,69.3131131,trunk
22819603,2,41.3252592,69.3136916,trunk
22819603,3,41.3270014,69.3142554,trunk
22819603,4,41.3273433,69.314352,trunk
22819603,5,41.3275479,69.3143942,trunk
22819603,6,41.3277533,69.3144244,trunk
22819603,7,41.3280952,69.3144447,trunk
22819603,8,41.3283202,69.3144318,trunk
22819603,9,41.3285404,69.3144125,trunk
22819603,10,41.3287245,69.3143851,trunk
22819603,11,41.3289075,69.3143516,trunk
22819603,12,41.3291317,69.3142928,trunk
22819603,13,41.3293925,69.3142088,trunk
22819603,14,41.3295159,69.3141577,trunk
22819603,15,41.3296389,69.3140984,trunk
22819603,16,41.3303214,69.3137445,trunk
22819606,0,41.3076867,69.3020327,trunk
22819606,1,41.307168,69.3011964,trunk
22819610,0,41.3499498,69.218343,trunk
22819610,1,41.3497478,69.2181398,trunk
22819610,2,41.3493476,69.2177244,trunk
22819610,3,41.3483699,69.2167117,trunk
22819610,4,41.3479009,69.2162254,trunk
22819610,5,41.3478228,69.2161445,trunk
