city,lat,lon,child_u20
Almaty,43.34033,76.91316,1114.2
Almaty,43.25114,76.80824,208.6
Almaty,43.21220,76.82739,278.4
Almaty,43.21637,76.77583,166.2
Almaty,43.31037,76.87489,1121.2
Astana,51.00448,71.37251,242.6
Astana,51.12474,71.21573,148.8
Astana,51.24743,71.25399,60.1
Astana,51.28607,71.64505,122.5
Astana,51.11828,71.21286,137.9
Astana,51.21344,71.63009,87.3
Astana,51.05194,71.56685,195.2
Astana,51.08060,71.23333,125.0
Astana,51.19078,71.40231,304.6
Astana,51.18723,71.41830,305.2
Astana,51.17080,71.41724,309.2
Astana,51.10036,71.40981,254.1
Astana,51.16324,71.41611,301.2
Astana,51.17074,71.41587,309.2
Astana,51.13438,71.36982,269.5
Astana,51.17081,71.42495,307.3
Astana,51.17451,71.42947,307.3
Astana,51.15870,71.45422,320.5
Astana,51.17759,71.42042,309.2
Astana,51.17859,71.42730,287.6
Astana,51.20452,71.39767,302.1
Astana,51.10863,71.68574,198.5
Astana,51.18333,71.41870,291.4
Astana,51.14927,71.46143,320.1
Astana,51.11285,71.64471,229.8
Astana,51.19830,71.42453,296.1
Astana,51.14288,71.41517,298.8
Astana,51.14750,71.52551,242.1
Astana,51.13364,71.46390,310.6
Astana,51.15342,71.47122,317.9
Astana,51.16590,71.40959,309.9
Astana,51.11407,71.47593,305.5
Astana,51.14714,71.57901,274.2
Astana,51.12658,71.59518,286.3
Astana,51.17616,71.39967,310.2
Astana,51.20782,71.40089,302.1
Astana,51.04233,71.42863,281.9
Astana,51.14067,71.37209,224.2
Astana,51.12848,71.25461,176.8
Astana,51.15731,71.50346,292.9
Astana,51.17442,71.44823,286.9
Astana,51.14983,71.46643,317.5
Astana,51.10666,71.44131,296.7
Astana,51.14313,71.48145,294.9
Astana,51.14053,71.37189,224.2
Astana,51.14532,71.46636,317.5
Astana,51.20098,71.36496,276.4
