lat,lon,name,dist_m,network_anomaly,fused_outdoor_pm25
41.28341,69.17059,78-sonli umumiy o'rta ta'lim maktabi,1110,-1.37,36.5
41.30680,69.18690,81-sonli ixtisoslashtirilgan davlat umum,559,-0.52,37.5
41.32325,69.18023,106-sonli umumiy o'rta ta'lim maktabi,1065,1.11,39.0
41.27673,69.17396,107-sonli ixtisoslashtirilgan davlat umu,1473,-1.62,36.3
41.32483,69.16861,109-sonli umumiy o'rta ta'lim maktabi,788,1.16,39.1
41.31534,69.16044,116-sonli ixtisoslashtirilgan davlat umu,463,0.64,38.8
41.30442,69.15536,123-sonli umumiy o'rta ta'lim maktabi,91,0.07,40.7
41.30785,69.16782,129-sonli umumiy o'rta ta'lim maktabi,43,0.06,41.7
41.29855,69.16454,193-sonli ixtisoslashtirilgan davlat umu,727,-0.47,37.5
41.28219,69.16393,194-sonli umumiy o'rta ta'lim maktabi,1280,-1.12,36.8
41.29720,69.15958,197-sonli umumiy o'rta ta'lim maktabi,735,-0.4,37.5
41.26898,69.15552,203-sonli umumiy o'rta ta'lim maktabi,709,-0.98,37.0
41.29559,69.18079,228-sonli umumiy o'rta ta'lim maktabi,321,-1.31,37.2
41.28922,69.17671,229-sonli umumiy o'rta ta'lim maktabi,319,-1.48,37.0
41.32218,69.16142,236-sonli umumiy o'rta ta'lim maktabi ma,307,1.01,39.6
41.29259,69.17033,238-sonli umumiy o'rta ta'lim maktabi,588,-1.01,37.0
41.31755,69.16470,245-sonli umumiy o'rta ta'lim maktabi,726,0.75,38.7
41.27239,69.14115,251-sonli umumiy o'rta ta'lim maktabi,461,-0.65,37.5
41.28003,69.18547,283-sonli umumiy o'rta ta'lim maktabi,568,-2.29,35.7
41.27779,69.16294,287-sonli umumiy o'rta ta'lim maktabi,1318,-1.15,36.7
41.26540,69.15001,295-sonli umumiy o'rta ta'lim maktabi,233,-0.87,38.1
41.26845,69.15556,296-sonli umumiy o'rta ta'lim maktabi,710,-0.98,37.0
41.28190,69.13887,297-sonli umumiy o'rta ta'lim maktabi,734,-0.45,37.5
41.29130,69.14477,312-sonli umumiy o'rta ta'lim maktabi,424,-0.31,37.9
41.29638,69.12489,"245,Tashkent,Uchtepa",2133,0.1,38.0
41.29465,69.21288,79-sonli umumiy o'rta ta'lim maktabi,333,-2.77,35.7
41.31005,69.24446,90-sonli umumiy o'rta ta'lim maktabi,132,-1.43,38.5
41.26818,69.18397,101-sonli umumiy o'rta ta'lim maktabi,1303,-1.96,35.9
41.28286,69.22678,103-sonli ixtisoslashtirilgan davlat umu,591,-3.24,34.8
41.26609,69.19431,114-sonli umumiy o'rta ta'lim maktabi,414,-2.31,35.9
41.26001,69.15461,126-sonli umumiy o'rta ta'lim maktabi,270,-0.94,37.8
41.29915,69.22779,128-sonli umumiy o'rta ta'lim maktabi,206,-1.59,37.6
41.26754,69.20412,131-sonli ixtisoslashtirilgan davlat umu,272,-2.81,35.9
