priority_rank,school_name,lat,lon,dist_to_major_road_m,building_era,infiltration_factor,classroom_pm25_annual,classroom_pm25_winter,exceeds_uz_national_mac_35_in_winter,x_who_guideline,neighbourhood_rwi,children_under20_nearby,injustice_index,exposure_only_rank,in_top_43,enters_top_43_via_equity_only
77,111-sonli umumiy o'rta ta'lim maktabi,41.33951,69.22337,96,pre-1992 (Soviet-era),0.8,32.4,50.5,YES,6.5,1.03,175.7,0.546,31,no,no
78,342-sonli umumiy o'rta ta'lim maktabi,41.29824,69.39204,2334,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.77,220.2,0.546,282,no,no
79,"118,Tashkent,Yakkasaroy",41.26931,69.23461,61,pre-1992 (Soviet-era),0.8,33.0,51.5,YES,6.6,1.13,177.1,0.545,18,no,no
80,237-sonli umumiy o'rta ta'lim maktabi,41.25957,69.25684,90,pre-1992 (Soviet-era),0.8,32.5,50.7,YES,6.5,1.05,163.3,0.545,24,no,no
81,141 - sonli umumiy o'rta ta'lim maktabi,41.31565,69.20885,97,pre-1992 (Soviet-era),0.8,32.4,50.5,YES,6.5,1.06,195.7,0.544,30,no,no
82,180 - sonli ixtisoslashtirilgan davlat umumta'lim maktabi,41.30315,69.20710,149,pre-1992 (Soviet-era),0.8,31.8,49.6,YES,6.4,0.97,186.4,0.544,49,no,no
83,99-sonli ayrim fanlar chuqur o'qitiladigan sinflari mavjud umumiy o'rta ta'lim maktabi,41.33320,69.30405,59,pre-1992 (Soviet-era),0.8,33.0,51.5,YES,6.6,1.15,197.1,0.544,17,no,no
84,33-sonli umumiy o'rta ta'lim maktabi,41.40700,69.30804,151,pre-1992 (Soviet-era),0.8,31.8,49.6,YES,6.4,0.99,218.5,0.544,47,no,no
85,69-sonli umumiy o'rta ta'lim maktabi,41.31738,69.31401,53,pre-1992 (Soviet-era),0.8,33.1,51.6,YES,6.6,1.16,211.3,0.544,16,no,no
86,289-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.23364,69.33899,340,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,0.85,238.1,0.543,146,no,no
87,246-sonli umumiy o`rta ta`lim maktabi,41.36734,69.29771,340,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,0.84,233.7,0.543,145,no,no
88,45-sonli umumiy o'rta ta'lim maktabi,41.31347,69.23246,235,pre-1992 (Soviet-era),0.8,31.2,48.7,YES,6.2,0.9,185.0,0.543,76,no,no
89,26-sonli umumiy o'rta ta'lim maktabi,41.26950,69.23470,69,pre-1992 (Soviet-era),0.8,32.8,51.1,YES,6.6,1.13,197.1,0.542,20,no,no
90,127-sonli umumiy o'rta ta'lim maktabi,41.26870,69.25004,130,pre-1992 (Soviet-era),0.8,32.0,49.9,YES,6.4,1.02,178.1,0.542,42,no,no
91,121-sonli umumiy o'rta ta'lim maktabi,41.33121,69.37259,196,pre-1992 (Soviet-era),0.8,31.4,49.0,YES,6.3,0.96,217.2,0.541,63,no,no
92,53-sonli umumiy o`rta ta`lim maktabi,41.35910,69.28360,304,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,0.87,205.1,0.54,115,no,no
93,195-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.27470,69.20030,216,pre-1992 (Soviet-era),0.8,31.3,48.8,YES,6.3,0.94,185.3,0.54,69,no,no
94,164-sonli umumiy o'rta ta'lim maktabi,41.27470,69.20030,216,pre-1992 (Soviet-era),0.8,31.3,48.8,YES,6.3,0.94,185.3,0.54,66,no,no
95,12-sonli umumiy o'rta ta'lim maktabi,41.36960,69.29950,471,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,0.84,236.0,0.54,174,no,no
96,"272,Tashkent,Yunusobod",41.35839,69.28294,344,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,0.87,205.1,0.539,141,no,no
97,260-sonli umumiy o`rta ta`lim maktabi,41.37249,69.28061,522,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,0.84,242.6,0.539,218,no,no
98,61-sonli umumiy o'rta ta'lim maktabi,41.28609,69.35582,343,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,0.87,206.3,0.539,128,no,no
99,255-sonli umumiy o'rta ta'lim maktabi,41.29208,69.36278,405,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,0.87,212.8,0.538,151,no,no
100,30-sonli umumiy o'rta ta'lim maktabi,41.28985,69.31865,1303,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.82,184.2,0.538,291,no,no
101,328-sonli umumiy o'rta ta'lim maktabi,41.29335,69.27121,25,pre-1992 (Soviet-era),0.8,33.7,52.6,YES,6.7,1.28,182.9,0.538,3,no,no
102,102-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.32967,69.22068,148,pre-1992 (Soviet-era),0.8,31.8,49.6,YES,6.4,1.03,185.2,0.537,50,no,no
103,14-sonli umumiy o'rta ta'lim maktabi,41.25291,69.15022,541,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,0.83,161.4,0.537,190,no,no
104,16-sonli umumiy o'rta ta'lim maktabi,41.22255,69.10619,1862,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.81,142.5,0.537,313,no,no
105,40-sonli umumiy o'rta ta'lim maktabi,41.32349,69.20692,129,pre-1992 (Soviet-era),0.8,32.0,49.9,YES,6.4,1.06,181.8,0.536,41,no,no
106,58-sonli umumiy o'rta ta'lim maktabi,41.35488,69.30171,520,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,0.87,225.1,0.535,219,no,no
107,13-sonli umumiy o'rta ta'lim maktabi,41.24706,69.15501,786,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.83,159.0,0.535,312,no,no
108,119-sonli umumiy o'rta ta'lim maktabi,41.34176,69.24999,143,pre-1992 (Soviet-era),0.8,31.9,49.7,YES,6.4,1.07,191.2,0.535,44,no,no
109,131-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.26754,69.20412,272,pre-1992 (Soviet-era),0.8,31.0,48.3,YES,6.2,0.94,186.7,0.535,98,no,no
110,282-sonli umumiy o'rta ta'lim maktabi,41.29351,69.36622,733,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,0.87,212.8,0.534,233,no,no
111,23-sonli umumiy o'rta ta'lim maktabi,41.28205,69.36739,540,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,0.87,198.9,0.534,224,no,no
